Institute Name,Branch Code,OC BOYS,OC GIRLS,"BC_A BOYS","BC_A GIRLS","BC_B BOYS","BC_B GIRLS","BC_C BOYS","BC_C GIRLS","BC_D BOYS","BC_D GIRLS","BC_E BOYS","BC_E GIRLS","SC BOYS","SC GIRLS","ST BOYS","ST GIRLS","EWS BOYS","EWS GIRLS"
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),ECE,25607,26433,63284,83652,43398,43752,80866,80866,38431,40735,64804,135502,88912,114141,94098,129289,25607,26433
K U COLLEGE OF ENGG  KOTHAGUDEM - SELF FINANCE,ECE,25795,25795,25795,25795,25795,25795,25795,25795,25795,25795,25795,25795,138871,138871,155280,155280,25795,25795
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSE,25830,25830,53472,53472,43008,45391,49406,49406,41339,50167,58293,74726,95337,102338,83965,110869,27605,27605
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSI,25878,26992,67964,72242,38553,40603,25878,26992,35786,44423,77332,77332,102668,110813,151074,151074,25878,26992
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CSI,26146,29251,61162,84895,41892,49435,26146,42840,39616,41161,75166,75166,92792,92792,147042,147805,26146,29251
GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSD,26233,26233,68946,68946,39798,43036,85804,85804,42624,44852,67217,97311,96602,130218,133415,151812,26233,26322
A C E ENGINEERING COLLEGE (AUTONOMOUS),CSE,26405,26405,66198,73808,44747,46222,61400,61400,44697,44697,59906,114390,74408,74408,81056,102253,32429,32512
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),AID,26535,42582,60595,113072,56058,69027,26535,42582,59978,62003,74049,74049,100662,130048,134504,148095,37280,42848
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),CSE,26779,32377,78399,78399,52238,55455,141974,141974,43757,47000,75614,75614,95472,95472,72412,103554,30867,39463
VISWESWARAYA COLL OF ENGG AND TECHNOLOGY,CSE,26780,26780,133134,142667,144428,144428,123425,123425,126682,126682,140113,140113,151888,154067,152875,152875,82802,127045
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,INF,26823,28871,83791,134691,44419,59294,50110,50110,48961,55818,56899,56899,109157,109157,114467,151687,28113,28871
INSTITUTE OF AERONAUTICAL ENGINEERING,ECE,26871,26871,67417,78725,43700,52196,124548,124548,43471,51907,80591,80591,111122,141411,136753,156384,28445,28556
MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),CSE,27204,27204,72530,82771,54807,60237,62414,62414,48123,59320,69739,118701,95102,104251,109712,147651,32298,32801
VARDHAMAN COLLEGE OF ENGINEERING,EEE,27372,38918,106666,133599,82183,96609,27372,38918,45296,66855,27372,106344,127442,149006,117135,152184,30323,40630
MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS),CSE,27409,28207,63263,63263,39935,50489,62847,62847,38087,38171,57623,136162,82524,102400,82821,107439,28057,28207
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSD,27458,27458,77203,79795,57978,60818,27458,27458,51121,59584,68607,68607,78288,78288,72023,72023,27458,40446
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),INF,27786,28962,67758,87750,42063,47290,81780,81780,43431,47131,61927,64967,113181,133378,148900,150689,27786,28962
CMR TECHNICAL CAMPUS (AUTONOMOUS),CSE,27976,29172,62851,71336,43308,44959,98692,113249,34934,40350,61262,110998,84260,103020,95708,146799,29720,29720
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,EIE,28433,28433,127942,145028,49790,85981,28433,51710,47576,47576,135490,135490,112274,149440,148520,149544,34984,34984
JNTUH UNIVERSITY COLLEGE OF ENGINEERING WANAPARTHY,CSE,28491,28491,70008,76361,98058,98058,28491,28491,74236,75711,143096,143096,138932,138932,114245,114245,55761,122550
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSM,28624,36557,75886,95002,63985,65137,53861,53861,63299,77044,28624,90657,122158,126095,147683,147683,36661,41593
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,CHE,28633,28633,45240,48804,35904,46825,43958,43958,54341,54341,101570,101570,87023,92037,96552,96552,50319,50319
VASAVI COLLEGE OF ENGINEERING,MEC,28778,46632,91928,91928,79681,130963,28778,46632,97603,118553,75510,75510,103849,134239,128454,154486,43859,78343
GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSC,29020,29351,77051,83296,45111,49971,127040,127040,45274,45274,71071,87125,109781,125651,147583,154381,29020,31266
ELLENKI COLLGE OF ENGG AND TECHNOLOGY,CSE,29179,82052,143501,143501,134211,142013,134003,134003,140640,140640,136358,136358,155475,156442,155674,155674,103994,146346
O U COLLEGE OF ENGG  HYDERABAD,BME,29575,31142,65876,65876,73695,73695,29575,31142,38424,38424,86876,86876,92022,123324,62832,146428,34073,34073
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSM,29735,31523,64029,98783,55897,56175,67423,67423,54043,56779,78017,78017,114085,140049,134954,151105,32621,33887
KESHAV MEMORIAL COLLEGE OF ENGINEERING,CSM,30072,32492,87162,87162,52755,65373,59344,59344,54841,75554,74160,117675,113695,147174,156660,156660,30072,35123
CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSM,30168,30508,72947,74465,43929,44021,118430,118430,43273,47346,100053,140550,117022,123270,152884,153863,30805,31689
CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSD,30183,30183,73112,73112,44696,46665,30183,48675,43421,48360,71608,93533,123139,146797,139650,151459,31789,32231
MATRUSRI ENGINEERING COLLEGE ( AUTONOMOUS),EEE,30359,30359,146052,146052,123405,145416,30359,30359,118841,140575,30359,102569,154349,155941,145008,148161,115145,125796
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSE,30605,30605,51161,95259,50878,50878,30605,30605,55570,55570,62543,62543,76400,100563,84964,120185,30605,40206
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,CSE,30625,37991,101526,101526,92234,92234,30625,37991,87403,96024,86594,86594,132540,150856,147541,154864,51000,58990
MATRUSRI ENGINEERING COLLEGE ( AUTONOMOUS),ECE,30749,35050,101857,103297,67160,67160,30749,54402,77698,77698,98724,98724,119539,151511,149181,155214,35567,35835
SWAMI VIVEKANANDA INST OF TECHNOLOGY,CSE,30767,30767,105730,105730,68280,77782,30767,30767,78381,78381,30767,56003,119268,146766,150010,151712,46914,58856
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),CSM,30779,32681,69578,81305,59364,61342,118367,118367,49049,49788,108958,108958,98528,126753,112757,142760,31677,32902
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),INF,30839,31837,77196,109042,47332,49845,30839,34921,46614,53974,90446,114066,133651,135875,155814,156515,30839,31837
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSE,30895,30895,72279,72842,60155,60155,50510,50510,50473,51683,54029,104989,102222,112228,95614,148830,36823,36823
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CIV,31059,31059,81656,123430,69638,120922,31059,31059,45634,58875,44712,44712,77207,77207,64469,140661,48576,48576
MATRUSRI ENGINEERING COLLEGE ( AUTONOMOUS),CME,31162,31162,100082,142668,62572,62572,31162,31162,50887,94125,50547,111442,133597,133597,150038,151440,31162,32061
SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSE,31517,31517,51281,79808,54400,66375,64715,64715,50602,57275,74860,74860,103371,132503,143969,147673,33860,33860
T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSE,31577,33118,67387,82759,43322,44865,31577,57632,47062,47062,64740,76246,88024,88024,100273,111679,34379,34379
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,MEC,31646,49620,124319,124319,70884,83806,31646,49620,80499,130105,134931,134931,128184,149011,128945,128945,46543,59556
MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS),CSM,31668,31785,77154,89930,49443,51995,138192,138192,48473,51837,90683,133707,133841,148301,156575,156575,34141,34141
VAAGDEVI COLLEGE OF ENGINEERING (AUTONOMOUS),CSD,31921,94048,135019,135019,110911,112941,91502,94106,96533,96533,117889,117889,153014,153650,156791,156791,97385,103441
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,CSO,32137,41678,77967,82654,46660,48830,32137,41678,49728,49728,51990,52315,116922,116922,151879,151879,36143,41678
VIGNAN INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),CSE,32171,36265,68023,68023,45713,49045,108752,108752,45483,45483,64689,64689,115235,115940,146965,147831,34470,36265
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),CSE,32250,34354,68861,70235,60111,67367,57950,123247,45671,45671,77306,108357,102045,124904,126179,149210,33871,34354
JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA,ECE,32280,32280,111194,111194,121114,121114,32280,32280,77237,77237,106294,123009,156151,156151,135747,135747,146404,146404
KESHAV MEMORIAL COLLEGE OF ENGINEERING,CSD,32503,37930,133797,133797,58777,69205,57261,57261,53239,59002,136654,136654,156567,156567,151564,151564,32503,37930
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ECE,32708,32708,72442,72442,51883,53597,73029,73029,44467,47875,87013,87013,112639,120739,119627,155298,32708,34860
MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS),CSC,32771,32771,43182,140116,50774,57805,32771,32771,47777,51886,79412,91175,109722,119875,128120,131947,32771,39388
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),AID,33015,46445,96067,96745,58167,87447,33015,46445,61559,61559,132563,132563,81064,154508,140354,144925,40784,53610
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),CSD,33199,36089,84648,91765,70029,70029,33199,36089,54540,56045,84649,143138,120583,147552,118677,153889,34119,45006
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,CSN,33300,35578,68992,82962,45625,45625,43380,49584,40491,48590,58984,58984,90384,120332,149275,150624,35432,45570
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CSO,33405,34510,73547,95722,51184,67121,117424,117424,51673,72734,99241,99241,134510,151636,151237,151237,33888,34510
HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),CSE,33440,33440,64377,72467,54409,75370,114727,114727,56181,58841,65626,88545,87419,122592,128942,151392,35145,38005
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),INF,33636,33636,92936,108769,58801,67553,64121,64121,64094,69031,102225,102225,146635,152567,154547,154547,38804,43882
MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),CSM,33676,34431,97436,104985,62096,72320,33676,62159,55319,60604,100457,105752,143253,150001,148578,152780,37483,41548
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  JAGITIAL (AUTONOMOUS),EEE,33753,51169,50416,51169,67564,79394,33753,51169,52135,52135,96210,109910,88874,110604,107556,107556,83291,136675
MALLAREDDY INST OF TECHNOLOGY AND SCI (AUTONOMOUS),ECE,34025,117119,117746,121427,94142,117119,34025,117119,91873,117119,143012,143012,150408,156401,149017,149852,79706,117119
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH  -5 YEAR INTEGRATED MTECH  SELF FINANCE,MTE,34035,112595,117076,117076,124414,129400,34035,112595,115720,139192,139159,139159,147643,147643,150984,150984,101071,112595
INSTITUTE OF AERONAUTICAL ENGINEERING,ANE,34075,34075,36618,113671,34075,34075,34075,34075,34075,61576,51773,96239,81993,86651,121847,141910,34075,35264
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),EEE,34299,38352,126970,129754,123905,123905,79819,79819,79186,125141,146704,146704,148731,151314,140806,151940,64292,69042
GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),INF,34374,34929,100880,128159,63827,82503,57160,57160,56997,59677,108704,114105,141299,145509,128701,155148,34374,38530
CMR ENGG COLLEGE (AUTONOMOUS),CSE,34636,38163,68178,71478,54716,54716,93826,93826,45344,45344,102147,102147,96912,119574,113483,139353,36553,38163
B V RAJU INSTITUTE OF TECHNOLOGY,EEE,34649,34649,83674,136030,63938,63938,34649,58780,54264,79600,108195,108195,123231,153930,123854,145447,44855,47944
O U COLLEGE OF TECH  HYDERABAD,CHE,34857,41448,82724,100503,64584,64584,34857,61049,52040,75901,71095,118588,101049,104341,78221,78221,62032,63052
CMR TECHNICAL CAMPUS (AUTONOMOUS),CSM,34895,35115,79701,100939,47532,55315,48529,122930,46554,47221,81240,132680,122542,136520,150070,154625,35103,35115
MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS),CSI,34981,37432,74042,122713,51543,51543,34981,37432,53678,55723,91875,91875,128577,145358,126217,150147,36708,40553
NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS (AUTONOMOUS),INF,35021,63384,85348,105552,89599,104647,35021,63384,80404,93611,124730,124730,152898,152898,149767,149767,59807,63384
O U COLLEGE OF TECH  HYDERABAD,FDT,35039,35039,78617,78617,106603,106603,35039,35039,124178,124178,35039,92150,115667,115667,149970,155170,100955,117227
AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,CSM,35362,35362,35362,140257,35362,144315,35362,35362,123675,144824,35362,35362,37791,152865,35362,35362,35362,110970
A C E ENGINEERING COLLEGE (AUTONOMOUS),INF,35401,42711,101496,108388,81442,81442,35401,42711,57802,57802,112713,112713,142386,147963,142846,148709,42309,42711
GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),AID,35546,35546,96544,123565,69623,81462,108122,135361,52205,65794,112655,112655,117065,149305,127261,154716,35546,38114
MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS),CSD,35801,36116,81020,92739,51462,56919,48299,54094,49422,53721,85386,138185,137242,137242,153522,154241,35801,36116
AAR MAHAVEER ENGINEERING COLLEGE,ECE,35962,35962,125983,131080,139397,145078,35962,35962,118732,121526,144807,144807,153181,154906,154475,154475,117067,117067
GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),ECE,35967,35967,131743,143869,76132,100022,35967,35967,80015,80015,140137,145837,129030,152223,136144,148481,43063,43063
SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE) ,ECE,36006,36006,117867,117867,58720,73233,36006,60845,61171,84194,84973,131830,132562,134087,133637,148659,51997,55361
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,ECE,36399,36399,137670,137670,141335,141335,116753,116753,146374,146374,134459,134459,104241,153257,116429,116429,36399,111824
NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),CSM,36431,36431,119754,119754,85724,101642,36431,87752,74130,80005,142122,145947,153673,153673,152931,152931,56301,65899
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,CIV,36585,36585,105877,135805,78991,117606,36585,42996,73590,83170,135388,135388,106714,143888,102961,109769,85097,85097
SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CSE,36688,44777,74658,88411,74117,77409,54372,54372,52022,70483,112307,112307,114410,119221,117043,151285,39939,44777
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSI,36830,58900,91256,146320,76720,95998,36830,58900,69752,80026,92190,92920,154315,154315,153321,153321,50382,64958
MALLA REDDY COLLEGE OF ENGINEERING,CSE,36922,41605,84612,121112,75198,75198,58179,99727,70902,73781,130546,130546,107279,123110,127476,155441,45879,52407
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSD,36976,36976,72504,98537,61356,73755,101485,101485,59589,60871,99190,109557,128614,145303,156517,156807,38122,42660
T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSD,37078,40152,99447,134525,65615,67329,119482,119482,62410,63194,113097,113097,147611,151103,154340,154340,46805,46805
CMR TECHNICAL CAMPUS (AUTONOMOUS),CSD,37143,37143,76280,95595,51242,56966,48979,101883,51275,51275,78607,127109,133448,147703,148450,152055,37143,37143
CMR ENGG COLLEGE (AUTONOMOUS),CSM,37232,37232,92016,102703,56837,63256,112548,112548,50576,57731,89358,106817,133379,152199,156519,156519,39886,39886
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSC,37263,37618,70117,75145,59354,63490,59438,59438,61439,63764,110986,127744,144156,147792,151817,152042,38451,40290
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ECE,37338,38237,88246,125363,63465,69721,143746,143746,63343,81395,144725,144725,150547,153441,152700,155616,41181,49233
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CSE,37433,39372,99329,99329,65077,87576,100524,100524,62396,76358,50108,50108,114454,148567,149274,155914,46502,54388
CMR ENGG COLLEGE (AUTONOMOUS),ECE,37515,53235,110184,110950,72123,86478,64572,64572,72902,73640,109600,109600,154887,155863,153480,154882,51346,57419
T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),INF,37634,37634,120800,121808,70892,82784,37634,37634,68888,68888,77574,77574,155018,155018,139579,154609,49780,51747
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),CSM,37657,40360,92666,124320,63241,71934,102171,102171,53949,56035,93463,104839,154593,154593,154368,156028,38017,40360
GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),EEE,37718,37718,105269,105269,131105,137220,119104,119104,128664,132295,126355,126355,154750,155030,155073,155073,91768,129868
CMR TECHNICAL CAMPUS (AUTONOMOUS),CSI,37931,37931,74379,130579,58018,77313,37931,37931,51156,51156,86202,91656,148970,148970,152607,152607,40549,40549
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),CSC,38134,38134,89026,130107,73745,76176,38134,38134,60244,71769,116086,116086,122497,148529,126933,149515,39475,41841
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),CIV,38238,38238,134299,134299,38238,38238,38238,38238,38238,38238,38238,38238,150254,150254,38238,156416,38238,38238
HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),CSM,38308,40878,81911,89135,69515,78722,88880,88880,68192,72485,102080,109644,120270,148638,154670,155517,38500,40878
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSM,38854,38854,104844,138221,68819,75861,61129,61129,61973,73647,70396,144115,151291,153072,156722,156722,45843,49507
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSD,38885,53856,118606,136216,75979,86628,70559,70559,67018,68166,136865,140095,156525,156525,153084,156114,47301,53856
T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ECE,38976,48522,139516,142373,89654,94656,82897,98153,83545,96097,123063,135068,155713,155982,156703,156703,77160,91818
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,CSM,39027,55388,129012,140421,144898,144898,39027,55388,113407,118514,86961,131892,151128,151128,120849,138634,144919,144919
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,BIO,39038,45165,91354,91354,85535,85535,39038,45165,68796,68796,39038,64700,123436,136464,39038,155556,80291,80291
MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),CSC,39177,43501,95686,95686,67458,91008,63489,63489,63020,70765,99954,141615,148685,149259,151769,154483,42769,45119
CMR ENGG COLLEGE (AUTONOMOUS),CSD,39249,41490,79511,99246,60837,60973,115242,115242,53517,61336,117367,143437,148320,153337,155631,156064,40578,41490
MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,INF,39291,39291,108541,122812,99897,110554,39291,39291,92227,103161,144333,144333,151397,154852,151298,151802,56364,59690
MALLA REDDY COLLEGE OF ENGINEERING,CSM,39370,39370,112175,126688,85829,89926,39370,106204,74917,87569,145568,145568,154465,155794,151968,154384,48900,53565
WARANGAL INST OF TECHNOLOGY SCIENCE,CSE,39607,39607,144706,144706,142335,142335,39607,39607,128447,128447,39607,39607,153577,153577,127769,127769,39607,124925
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,AUT,39644,98980,101396,101396,84622,146044,52050,98980,86672,98980,102412,102412,152945,152945,147960,147960,75103,98980
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),ECE,39776,39776,93913,125047,58840,63423,133813,133813,49566,60979,89363,115253,130542,140224,131458,152515,39776,39776
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,ECE,39886,39886,70614,80995,50136,50501,46820,122750,60398,60398,64565,64565,80565,80565,102609,102609,39886,54270
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,INF,39909,56768,103519,140958,122239,122239,96804,96804,104469,104469,114338,146441,155933,156854,154098,155904,55753,80572
A C E ENGINEERING COLLEGE (AUTONOMOUS),AID,40102,65375,141802,141802,76294,76294,40102,65375,58464,79692,40102,74426,151703,155950,153680,153680,51889,65375
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,ECE,40222,40473,93018,122024,64640,71091,108314,108314,72083,77925,138325,138325,133692,138725,123687,148291,45994,48085
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),INF,40414,43293,100209,105853,75630,75630,61592,61592,59399,79450,140749,146682,130057,149760,129426,138031,42165,43293
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  SULTANPUR,CIV,40463,87733,144120,144120,83834,122118,115010,115010,86081,97055,74152,103612,148943,152350,90509,152573,139148,139148
ANURAG ENGINEERING COLLEGE AUTONOMOUS,CSE,40492,40492,107646,107646,137970,137970,40492,40492,95618,95618,139486,139486,140208,152297,153652,155185,68931,80903
A C E ENGINEERING COLLEGE (AUTONOMOUS),CSM,40545,40545,82001,90265,56921,56931,128630,128630,52403,52676,72475,75156,131189,135487,148289,155319,42772,42772
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),AIM,40670,45057,102538,102538,72352,78234,40670,45057,67769,67769,130789,130789,134582,154046,141647,141647,43959,45057
AAR MAHAVEER ENGINEERING COLLEGE,CSM,40700,40700,107379,128718,110907,123349,40700,40700,119493,120626,141280,141280,152202,152461,150744,152172,64922,76839
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CHE,40767,46219,85759,85759,119164,119164,40767,107404,87561,105750,120772,120772,138239,146886,139043,139043,67520,121003
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),AID,40808,51825,123407,142786,77564,93663,58803,58803,72988,92332,60276,146593,137616,152832,152354,152354,45796,51825
GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ECE,40856,46664,84218,84218,63339,82975,64270,64270,67430,75576,99620,130022,130771,144814,154831,154831,46722,46722
MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),CSD,40870,40870,91522,111037,62329,71541,40870,65667,57596,62401,108361,135632,147096,153279,155197,156307,40870,41662
HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),CSD,40944,42534,89985,142350,76226,80554,40944,135374,69993,78693,128687,139782,147772,156689,152502,154064,42148,46713
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),INF,41471,45658,126865,145407,86222,94630,60689,63735,83109,90951,111451,111451,151343,151343,153914,156211,45089,47493
CVR COLLEGE OF ENGINEERING,CIV,41961,41961,89696,134038,83336,83336,85832,85832,71519,136964,91583,91583,94576,139675,97000,155964,41961,86864
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSB,42101,42101,104116,104116,69842,96553,42101,42101,51199,83077,124249,124249,141110,150834,136731,155881,46574,46574
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),INF,42243,51149,107039,107039,79604,93248,67949,67949,68155,77761,128625,143632,146905,153397,126291,151122,50500,51149
T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSM,42296,42517,80902,107036,62714,71321,56527,56527,57150,57150,110064,116853,149839,149839,150272,154637,42296,45946
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),MEC,42323,70027,128485,141225,110573,145926,101754,101754,144026,144026,51557,125604,146812,146812,148811,148811,69030,126377
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,MEC,42705,57595,117992,132996,72548,128185,42705,57595,110586,110586,92199,119519,148433,155548,144515,147535,51786,94211
SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSD,42707,101662,146012,146012,137579,144501,121300,121300,120959,129337,142841,146093,155619,155619,156594,156811,99749,105657
NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS (AUTONOMOUS),CSE,42869,42869,80547,119229,68230,83284,60417,60417,60382,63502,102247,102247,114553,147428,127697,153232,49649,58956
KASIREDDY NARAYANAREDDY COLL ENGG RES,CSE,42925,42925,114216,114216,119625,119625,102869,102869,98090,104766,144846,144846,137418,148851,96622,103699,88067,111955
NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),INF,43007,43007,103834,103834,118622,118622,43007,43007,120969,125239,43007,122491,156743,156743,118319,137474,67815,98400
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSC,43200,54139,80727,80727,75658,83766,43200,54139,66853,81142,117476,117476,128155,140615,137478,150477,43200,54139
CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ECE,43215,48354,108241,111373,66569,74677,69983,69983,66816,70054,118567,128930,148148,152646,153291,156049,43342,48646
VAAGDEVI COLLEGE OF ENGINEERING (AUTONOMOUS),CSE,43311,43311,92800,94921,84898,84898,77385,77385,83989,83989,90077,90077,127799,148274,140961,147866,61065,86115
KESHAV MEMORIAL COLLEGE OF ENGINEERING,CSC,43467,43467,143938,143938,86540,86540,43467,43467,55539,88813,52685,78532,150119,152727,140067,140067,43467,44281
VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ECE,43490,45743,117554,123829,83870,83870,63855,72205,71782,101197,136781,136781,149347,149379,152019,152019,51098,57048
SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),CSM,43589,43589,103196,124653,96178,99989,43589,96977,79434,96427,113336,113336,136723,136723,148845,153601,64287,73003
MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,CSE,43648,43648,111128,135312,87955,88946,102279,102279,77788,90207,108639,136744,126529,126529,147427,153515,52523,53206
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,CIV,43750,43750,132247,132247,70094,139726,43750,43750,80542,117860,134252,134252,128249,128249,116295,117033,86928,91233
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSE,43770,43770,108961,113723,83866,90292,73126,73126,78346,78346,98017,120370,123065,152954,147489,154406,49777,53114
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),EEE,43778,43778,140560,140560,143300,153088,43778,43778,122798,122798,139775,139775,148625,148625,135907,153447,43778,135976
CVR COLLEGE OF ENGINEERING,EIE,43814,43814,69696,69696,68812,113448,43814,43814,77109,94695,127950,127950,148993,154865,126808,149252,43814,89659
